,user_id,bot_proba,verified
0,2820503362,3.51,False
1,1312487180258820096,0.68,False
2,2335763630,4.03,False
3,3282973915,84.51,False
4,105937456,14.03,False
5,46538055,5.6,False
6,100625142,8.88,False
7,1219326209366155264,6.41,False
8,1254928044529274883,54.03,False
9,1288981025364860928,1.94,False
10,65067002,27.04,False
11,2562614485,66.18,False
12,2246207654,5.99,False
13,4261171756,62.63,False
14,1066144442241953792,5.61,False
15,42920728,40.39,False
16,35221554,3.25,False
17,1007960516,5.9,False
18,1118489465008336897,5.53,False
19,980467278385958912,31.06,False
20,59143598,9.46,False
21,1206954619789856769,41.23,False
22,1243870145229008896,15.32,False
23,1658455681,18.43,False
24,989298900,4.83,False
25,1267800950321876994,27.61,False
26,908298889828106244,43.16,False
27,807989050972000256,91.91,False
28,849410927158054916,8.27,False
29,1090811471985065984,17.73,False
30,838183322,4.14,False
31,893684694759362561,7.79,False
32,2896415674,25.6,False
33,1282581117632000000,39.4,False
34,709149862227484672,40.03,False
35,3071943960,12.19,False
36,761111078201810944,72.02,False
37,757727571807051776,9.27,False
38,1145446480993488896,4.35,False
39,814187239,32.88,False
40,1194715921908023296,19.9,False
41,2598482552,10.02,False
42,143975787,13.04,False
43,2952274270,3.96,False
44,392831741,7.29,False
45,252260932,15.38,False
46,301406703,26.15,False
47,1270489357208649728,48.73,False
48,1184117258731360256,23.08,False
49,1228790549169217537,87.52,False
50,60591221,22.23,False
51,1109578158934814726,33.34,False
52,716693065,5.53,False
53,1268904953810235393,24.36,False
54,47576397,9.69,False
55,1144731933869404161,4.99,False
56,399168272,37.99,False
57,1279172108275367938,11.88,False
58,876878760997531649,27.53,False
59,965698177956569088,77.9,False
60,1204291626149040128,8.98,False
61,110539278,6.36,False
62,4573145187,36.38,False
63,1316370704464576512,35.31,False
64,256213677,3.4,False
65,781362067404054528,9.83,False
66,520923095,5.35,False
67,1284474234727792642,29.03,False
68,2294913955,62.12,False
69,2411275412,37.09,False
70,1193207737624059904,12.05,False
71,398956523,12.63,False
72,1248647482893983744,13.74,False
73,807297584792555520,11.69,False
74,1265074835862028291,81.76,False
75,2192010002,10.33,False
76,1290461578786152464,20.51,False
77,67700346,5.85,False
78,1164879095068426242,9.33,False
79,1214749064820072448,17.85,False
80,1053793355187011584,39.91,False
81,57369821,14.27,False
82,3253566278,32.17,False
83,87933277,32.37,False
84,991896360,51.18,False
85,730008979,12.56,False
86,1108132544342564865,3.56,False
87,32884145,1.86,False
88,1085376054804525056,24.2,False
89,35257549,3.69,False
90,375695666,17.2,False
91,4520673922,80.61,False
92,1320588241481928704,3.67,False
93,164845159,42.5,False
94,1319272482201763840,6.39,False
95,3124588276,4.18,False
96,1253310533161218049,25.66,False
97,231263320,30.04,False
98,1268068216800186368,2.4,False
99,1128010309107634186,35.19,False
100,3252788439,5.49,False
101,1124444264,13.08,False
102,1208105644932378624,55.82,False
103,1184545129052495872,91.36,False
104,2800710982,13.1,False
105,1904866352,2.81,False
106,532688830,9.01,False
107,15281392,10.05,False
108,15605058,11.19,False
109,891576928620208128,92.85,False
110,3409530790,30.45,False
111,1279403038176874496,26.93,False
112,1171793868,74.6,False
113,1373670270,15.92,False
114,717414106379259906,36.55,False
115,977025893825523712,4.88,False
116,981522659824500736,32.51,False
117,1190401092204544000,4.49,False
118,40454333,17.6,False
119,1151726020212355072,13.67,False
120,62411415,6.51,False
121,198967539,1.79,True
122,4151119043,7.36,False
123,752130696,9.2,False
124,787376301476765696,6.52,False
125,1290101576,20.13,False
126,623200267,5.2,False
127,1012372221355069440,97.79,False
128,1370956838,9.11,False
129,1308587077680889856,15.9,False
130,805446616287219714,33.21,False
131,3366811553,5.73,False
132,817433421098156038,6.39,False
133,1274172376826216449,49.15,False
134,292125867,64.4,False
135,211277470,6.46,False
136,1242249954380460032,27.69,False
137,462066864,77.2,False
138,1096347287671005186,6.9,False
139,1295862089123278858,3.25,False
140,3364462573,19.16,False
141,3309139560,3.49,False
142,930881935169253377,55.53,False
143,4543096874,11.4,False
144,2470627317,3.03,False
145,19476274,8.94,False
146,302549668,17.65,False
147,133050298,10.29,False
148,32972137,6.37,False
149,2725821279,2.97,False
150,339383379,9.89,False
151,1067028446,3.49,False
152,37876059,3.5,False
153,1270881009572216838,33.53,False
154,773148016488411136,5.81,False
155,27511172,27.0,False
156,734134273,2.31,False
157,47393533,4.62,False
158,110927054,6.07,False
159,1961227963,8.45,False
160,877485279849979904,12.91,False
161,719153567714648065,18.14,False
162,1059598185276989440,31.97,False
163,284041682,7.51,False
164,301212639,14.75,False
165,1260971773526511618,18.93,False
166,1305256835709112327,2.26,False
167,1205208642,84.5,False
168,985415738096869376,3.56,False
169,2294392018,12.34,False
170,815078916020805633,18.97,False
171,362270579,11.28,False
172,532298888,80.91,False
173,1308826298140172288,2.29,False
174,1215736637855911936,60.4,False
175,1249372312924835841,39.06,False
176,1320777745350172674,6.42,False
177,628493370,31.54,False
178,1237950258170212352,30.99,False
179,1068476780208627712,19.63,False
180,193865127,25.66,False
181,57481761,2.84,False
182,60681048,90.88,False
183,138565931,4.47,False
184,1290312750317666305,26.4,False
185,3309748047,7.2,False
186,1129215163,11.67,False
187,249136128,17.22,False
188,1299176685238128645,4.76,False
189,2691579169,73.24,False
190,2734323149,7.69,False
191,1318368906646532096,13.8,False
192,1040425699096576001,2.39,False
193,4516449072,57.25,False
194,1286727662736613382,49.8,False
195,23104128,3.75,False
196,3244975385,41.88,False
197,1258174315,94.39,False
198,3146812308,1.1,False
199,1170724962061168645,15.38,False
200,1006013902902177792,37.04,False
201,68187058,15.2,False
202,326551939,24.35,False
203,2949894993,37.38,False
204,1197961380751691776,8.25,False
205,1099540242,8.77,False
206,984898571316195330,81.1,False
207,1115088139167518723,19.35,False
208,707710315723509760,6.35,False
209,873968682568953856,5.61,False
210,983717571038982145,8.06,False
211,858119133249941504,14.86,False
212,168859444,10.26,False
213,503257992,23.83,False
214,180052013,4.41,False
215,3202270943,26.84,False
216,19519035,8.51,False
217,816199476742230016,19.76,False
218,4234421,11.79,False
219,32955946,8.92,False
220,1021034203134038017,54.26,False
221,4161335009,82.91,False
222,1158652376976449536,3.18,False
223,1539471667,10.81,False
224,1319474686326009856,38.38,False
225,45274006,11.24,False
226,1057696813908746240,14.54,False
227,3063748228,60.17,False
228,21552376,3.67,False
229,175099993,66.87,False
230,715091118,30.66,False
231,2246057659,62.3,False
232,945693405694357504,61.23,False
233,1108052375116361729,69.7,False
234,2824991076,3.83,False
235,131852081,4.46,False
236,1273194401775464450,4.56,False
237,1243268316883570689,92.1,False
238,1322212282751807489,11.26,False
239,284264082,8.23,False
240,1252104655632429057,18.71,False
241,59796664,7.11,False
242,822544851468165122,64.62,False
243,1202204357896364032,42.7,False
244,4756165758,2.19,False
245,47323584,9.46,False
246,3248952786,18.42,False
247,77739534,6.64,False
248,1020848040675037184,1.51,False
249,557016297,13.94,False
250,938018022639460352,46.46,False
251,1679482478,25.95,False
252,1183831129750675456,11.75,False
253,50462520,6.0,False
254,2724215808,16.21,False
255,842000121428639746,31.51,False
256,1258813826671108096,25.31,False
257,137138843,8.79,False
258,2843472743,19.05,False
259,428926983,67.82,False
260,995043288787939328,78.68,False
261,4836754687,49.34,False
262,1322777576985735169,28.64,False
263,773606728399282176,58.25,False
264,44489923,69.36,False
265,1291683999392436225,67.39,False
266,789191924653498370,11.93,False
267,979870450577686528,29.28,False
268,1087596246,11.31,False
269,1266580535201140736,82.95,False
270,1558916702,25.15,False
271,45435129,23.03,False
272,1216524009728364544,3.46,False
273,747223063029227521,11.5,False
274,960993253863645184,18.42,False
275,3411004725,13.34,False
276,35604515,8.96,False
277,29460341,12.02,False
278,735431735148699649,18.83,False
279,2457199196,20.94,False
280,591354042,4.47,False
281,1068676218516635649,16.21,False
282,64909225,12.01,False
283,1314028401980846082,25.67,False
284,1682291196,29.16,False
285,1033807310391394304,5.62,False
286,889182369478959105,16.05,False
287,2777388739,45.28,False
288,1074950605611790336,4.66,False
289,1235927786533138433,11.83,False
290,930407064,62.11,False
291,2708307975,8.16,False
292,1299053433257828352,53.82,False
293,1014547806,25.41,False
294,78425269,2.05,False
295,3293862881,11.01,False
296,1163533534859894784,22.03,False
297,59664749,7.51,False
298,359935294,13.91,False
299,1085216726290186242,27.82,False
300,47760872,48.78,False
301,1206825289025826817,23.11,False
