topic-1,topic-2
vote,barackobama
voting,year
votejoebiden,voting
electionday,campaign
voter,rally
year,covid
votedonaldtrump,trump
party,cnn
poll,trumpsupporter
ballot,plan
black,hillaryclinton
life,speech
care,china
friend,world
electoral,job
bidenharris,steal
trumpsupporter,family
believe,black
change,lie
family,care
democracy,guy
enough,economy
help,believe
woman,life
trump,tax
medium,whitehouse
lie,change
victory,death
cast,bidenharris
stop,news
